Question,Answer
It can be concluded from the results of the studies in 2009 and 2014 that,solid evidence is inadequate to prove how colors affect us
We can conclude from the passage that,cloning makes it possible to preserve endangered species .
"According to John Barrett , what is the key to attracting more U.S. families to broadband service ?",applying the Internet more to entertainment
The author could n't practice driving with her mother because,her mother made her nervous
"If your child has grown up , you may take the child 's things to",Children 's Home and Children 's Hospice
What might be the best title for this passage ?,A Walk a Day Keeps the Doctors away
A sound system of law enforcement is necessary because,poorly enforced laws cause crime and violence .
Once a man had,a boy and a girl
"In what way is "" Google 's machine translation "" different from previous ones ?",International official papers are programmed as its major sources .
"According to the passage , if you go to a "" going out of business""sale , you will find",yourself cheated by the owner
The passage tells us that,New York was the first city in the world to have electric lights
The author returned to the car for car - sick pills because,the kids needed them for the windiest trip ahead
From this selection we know that cats,take naps to add to their regular sleep
Which is the best title for this passage ?,It 's Time to Protect Chinese Language
What conclusion can be drawn after reading the passage ?,The father is actually kind to his son .
What would be the best title for the passage ? ks5u,Old people 's life in China
From the passage we can know that the author,was almost fined    by the police
Which of the following is true about Westlake College ?,It is an old college in America .
Miss Gogers raised this question because she wanted to know whether,her students had grasped her lesson .
Why does the Sesame Street Workshop have more fun than others ?,Because it has great sound effects and animation .
Which park is most suitable for a child with disabilities ?,Challenge Grove Park .
The main topic of the text is,the origin and development of standard English used nowadays .
The best title of the passage is,taking a nap during the day
We can conclude from the passage that,noise is a serious problem
The passage mainly talks about,the history of early flight attendants
63 . The article is about,the importance of play
What is mainly talked about in the passage ?,Mo Yan has won the 2012 Nobel Prize in Literature .
Why is Lacobelli elected the president of the Ugly Club every year ?,Because he has won the members ' trust and admiration .
What problem does Microsoft have now ?,Lots of users refuse to switch from XP to Windows 8 .
Which of the follwing explanations for the two sinkings will be accepted by psychologists ?,Human survival is more significant than that of the individuals .
Why was Ronald Hoffman awarded the 1981 Nobel Prize for chemistry ?,He succeeded applying computer science to chemistry research .
All of the following statements are true except   ,The UK higher education industry stands among the top five export earners for England .
Why did the author like Cowboy so much in spite of its ugliness ?,Because she was sad and lonely and needed a companion .
The purpose of this passage is,to explain when people will act in emergencies
Who do you think is clever in the story ?,Jane .
"According to the author ,",both traditional yearbook and My Yearbook.com are OK
Ruth Mckenney started her newspaper work,when she was a university student
Why was Harriet called Moses just like Moses in the Bible ?,She devoted most of her life to helping slaves escape .
Which of the following about the competition is TRUE ?,The winner of it must build the best machine .
One important difference between an infotainment and ordinary TV news program is that it,use actors to play the role
Which of the following statements is TRUE according to the passage ?,The Titanic was the world 's largest ship at that time .
The writer still remember the story many years later,because of what the boy did for his sister
We can learn from the passage that,the author 's daughter was thankful for the author 's strict discipline
"According to the author , the chief consequence brought about by the wide application of air - conditioning is",the reduction of social communications of neighborhood life
"According to the passage ,",the results of the air - cleaning device can be expectable
The best title for the passage is,Special camps
What would be the best title of the passage ?,Morally right or not ?
""" Regenerative braking "" is an important process of the hybrid car because",it produces energy to charge the battery
Why is June 6 . 1990 a special day for Mommy ?,Her female line was well linked .
Why did the author 's father volunteer at the hospital ?,He did n't want to let himself lonely .
"By saying "" Birds taught man "" , what did Lucretius mean ?",Humans learned something beautiful from the sounds of many animals .
What is the purpose of the passage ?,To tell us technology is changing the world .
What difficulty did Deanna meet after starting the trip with Ted ?,Getting up very early .
Which feeling is NOT included   in the laughter when the Englishman dropped a plate ?,Bad luck !
Playing computer games,makes us more clever
By visiting the website you can learn more information about,Blue Ridge Folklike Festival
Women tend to go up the floor until they reach the top floor because,they think even better husbands may be upstairs
"When the moon shines , it is during the",night
The writer 's new level of sleep deprivation began since he,began to teach in a school
What did the Economic Mobility Project find in its research ?,The rags to riches story is more fiction than reality .
Why did Mr. Baker want to see the $ 2.00 model first ?,Because he wanted to pay less money for a hearing aid .
The following part might probably,describe how strangers went out of their way to help him
Why did O'Brien develop his own mnemonics ?,To win money while playing cards .
Which of the following sentences is not right ?,You can only throw it with both hands
The Universal Postal Union was formed,to help move mail quickly around the world
Who helped to create the American version of Pizza ?,Raffaele Esposito and Margherita .
"All through his life , Van Gogh",was not recognized by people
What is the similarity between Doreen Sykora and Hitoshi Sakamoto ?,They both had experiences of test anxiety .
We can infer ( ; ) from the passage that,the writer missed her father very much after his death
From this passage we can see that,Ann can have more 1essons
"If we want to access more foreign countries and regions with better voice quality , we'd better choose_IP card .",China Mobile 's
Which of the following albums has a song adopted in a movie ?,""" Bailamos "" ."
Which of the following would be author agree with ?,Economic conditions are a major cause of crime
What is the impact from Apophis if it hits the earth ?,It might be the worst damage caused by asteroids in recorded history .
What can be inferred according to the passage ?,The dispute between China and Japan has put the U.S. in a dilemma .
"What do we know about the phrase "" your two cents "" ?",It is usually used at the end of a statement .
The main idea of the passage is that,progress does n't always bring about an improvement
"According to the news report , the aim of the summit in Londonis mainly to",seek solutions to the world economic crisis
"If a person calls""Rule 240"",he wants to",get a ticket for the next flight
"Why do people feel""squeezed""when their average income rises considerably ?",Their material demands go faster than their earnings .
Which of the following is not true according to the passage ?,""" Inspiration Mars ' would be a voyage of around 800 million miles around the Mars in 501 days , """
What can be learnt from the passage ?,Parents ' hope for their children 's career did not change too much .
"In their teacher 's eyes , why did they have so much stress ?",Because they cared too much about things that were not important .
"At 9:30 pm , the writer begins to",listen to the play
"Who first had the idea of making a book from the story "" Alice Adventures Under Ground "" ?",George
Mr Wang paid for a new school . Some people did n't like the design of the school but they did n't argue with Mr Wang because,he who pays the piper calls the tune
Which brain is the most developed ?,The human brain .
"If you want to get prize ,",please buy a packet of splash .
"In most US universities ,",some excellent students can graduate ahead of time
What method did Andrew Howell and his colleagues use in the study ?,Collecting information .
Which of the following is NOT true ?,Universities both at home and abroad have sponsored    the plan .
Which of the following is right ?,Children usually eat more while watching TV .
"According to the text , how is "" my "" English ?",I can master it but I ca n't use it correctly .
What could be the best title of the passage ?,Always Follow the Principles in Life
The boy visited the wise man for,getting the secret of happiness
What 's the purpose of Miss International beauty contest ?,promote international friendship
What is the best title for the text ?,A Picture of a Smiling Horse
Gillian Swan developed Square Eyes,to deal with childhood obesity .
Which of the following is WRONG ?,Li Hong has much pocket money .
"In this passage , the writer suggests that",there should be legal controls over tourism in the Antarctic
Which of the following is NOT true except the fact that,Miley 's 54-date North American concert tour was very successful .
"According tothe laws in some countries , computer companies must",collect and recycle most of their products
The text is mainly about   ,how human activity affects our water supply
"From this passage , we can know that",parents should try their best to keep away from spanking their children
Linda Waite 's studies support the idea that,Marriage can help make up for ill health
David Trezequet lost the game to Italy in,the 2006 World Cup in Germany
The passage is mainly about   ,the changes of fashions
Mr. Davis left the author with a very deep impression mainly because he,was a role model to teach hearts and change minds
What does the author think of franchising ?,It will control the global economy .
the writer develop the article mainly by    ,giving examples
"A "" property "" in Australia is a",farm
What did the author do when traveling to Myrtle Beach ?,Have fun with his brother .
What should students pay attention to when using the library ?,Keeping their mobile phones silent all the time .
The study Marc Turner did is different from those of many other   scientists in that,he grew   artificial blood using human stem cells
"According to the passage , the competition",aims to help poor children throughout the world
How will we feel if we let the clerk know the mistake ?,We 'll have a sense of honor .
What kind of people live a difficult life ?,Those who lead a dog 's life .
Doyle was rather surprised because,the driver could call him by his name
Which of the following statements about the Dubai Tower is TRUE according the passage ?,The Dubai Tower has apartments and a shopping mall .
Which of the following moved the author ?,The homeless man bought food for the dog with all of his money
"When she was over fifty , the late 19th century mother",was unlikely to find a job even if she is now likely
"According to the passage , we can learn that",the old couple got divorced at last
.We can conclude according to the passage that,the writer is worried about inflation
"By writing the passage , the author tries to show",we should try to rely on ourselves for everything
"When the writer did n't like the food his grandma cooked when he was growing up ,",he had to eat it or go without
"After hundreds of people sent money to help him ,",Huang Ge decided to thank everyone who had helped him
Which of the following would be the best title of the passage ?,How to make homework less work
Which of the following serves as the best title for the story ?,A Teacher 's Touch
Which of the following sentences is TRUE ?,The third pedestrian was kind - hearted but the driver would n't think so .
"According to Prof . Seashore ,",recognition words can become active ones
Where will you sit if you want to fly in the balloon ?,Inside the basket
Which of the following sentences is NOT true ?,"In the old days , people often ate dumplings because they were poor ."
Which of the following is NOT true ?,"If people hold the cup for a longer time , he will pay less for it ."
What is the passage mainly about ?,Harmony in family .
What is the passage mainly about ?,Express your gratitude to your loved ones in words .
The best title for this text would be,Pets Join the Workforce
How can people know that there is a plante round Barnard 's Star ?,"Sometimes they see that the planet pulls the star to one side and makes it move slower 
 ."
"Why did the author 's   mom always say "" Poor Tiffany "" ?",She thought that Tiffany was spoiled by her mother .
Bedtime Math is an iPad app that,encourages children together with their parents to solve math story problems
What did Wendy and Peter teach Stoopy ?,To help pick up litter .
When should you apply for a visa ?,The moment you have been accepted to a school in the US .
Which of the following ways to stop smoking is NOT mentioned in the passage ?,Offering money to help people stop smoking .
What is the reason that people ca n't sit under the tree like Newton ?,A willow barrier has been put around the tree .
"The new "" wellness""policy is declared in order to",reduce child overweight caused by bake food
The conductor punched the ticket of the Scots because,he thought there was only one person inside
"According to a Chinese newspaper , the best way to deal with the dispute is",declaring war on Japan without a moment 's delay
"According to the passage , such animals as deer , wolves and bears clean themselves by",replacing their skin and fur naturally
"To judge the length of the hair of her clients , Clements mainly depends on",her sense of touch
Those who feed pets on raw should do some necessary cleaning when,preparing raw meat for pets
The situation at the moment is that,"a school 's fame is not important , as long as a child has a certificate ."
What is the passage mainly about ?,Smell and its influence .
What is the best title of the passage ?,Love or money ?
"According to the text , which of the following has the longest history ?",San Francisco 's Chinatown .
The author stopped his work immediately because he,decided to drive home for fishing tools and take the old man fishing
The writer 's mother started working on very Saturday because she,wanted to buy the dress the writer wanted
"When you send short messages to a person , you must",make sure they mean no harm
Which of the following is true ?,There are rumors that Myanmar has turned down the US relief aid .
What can be inferred from the article ?,It is urgent for the government to take action .
What can we infer from the passage ?,Tom finally got forgiveness from Carrie .
What can be inferred from the talk between the father and the son ?,Josh felt quite good about his independence .
What can be the best title for this passage ?,The world 's oldest message in a floating bottle .
"The main purpose of "" Clean & Green Weekend "" is to",make our city more beautiful
Maria likes to buy food in,the supermarkets
Why did Siwosz want to leave her homeland for America ?,She wanted to play tennis and have a good education .
Which of the following is NOT true ?,"Each time after you smile at someone for the first time , you should buy yourself an ice cream ."
Which of the following statements is true ?,"If a job is performed differently , the payment for the job should be different too ."
How old   is Jack ?,"Sorry , I do n't know ."
What did Chris Brown think of Justin Bieber 's singing ?,He liked it very much .
"For Owen , his greatest achievement in New Lanark was",providing the children with a good education
Which of the following is TRUE ?,New Yorkers do n't have to pay to use the library .
Which statement is true according to the passage ?,We can join a birdwatching group to learn about some beginning skills .
Why did the government set some rules for the films shown in Spain ?,To limit the number of foreign movies .
What did Michael Landsberry do in the shooting ?,He tried to persuade the shooter to put down his gun .
The Amazon water lily 's white flowers can,change color
Why is the man from the country eager to have access to the law continuously ?,Because he is anxious to explore the nature of law .
The purpose of the article is to,tell how to enjoy water skiing properly and safely
"According to the author , "" My husband and I could have been a blanket wall . "" ( Line 6 , Para.1 ) most probably means ""  ",We were of no existence in the French woman 's eyes
Mr. Dyson left the Design Museum because he thought the museum,was n't loyal to its original purpose of learning
"According to the Poll , most people in America believe",God contributed to the present form of human beings
What do we know about the dog ?,The dog and her pups were in danger of dying from hunger .
Environment clubs ask students,To bring their lunches in bags that can be used again
What can we learn from the first sentence of the passage ?,There are many people who have sleeping problems .
The main purpose of this passage is to,advertise a certain product
"In Japan 's preschool education , the focus is on",shaping children 's character
Students choose Mathcounts Club in order to,be successful in science careers
What 's the best title of this passage ?,The most important animal
"In the past , Americans tended to",spend more time talking about their day 's experience at dinner table
The young man would n't like to exchange his eyes for money because,he thought his eyes were important to him
From the passage we know that,the bus driver is n't driving fast
Gould and Schipper are going to,take part in the same sports event
According to the passage communication between human beings would not be smoother unless,people were more considerate towards each other
Where and when can you hear the Mike Thomas Jazz Band ?,At the Derby Arms on Friday .
We can know that A Child 's History of the World,was first used as a history textbook at Calvert School
What made Anna decide to take her parents to court ?,The pictures of her sitting on the toilet .
What is the best title of the passage ?,Taste of Airplane Food
What can the Tile app help you ?,To find your missing items
What made Dr. Smoller feel strange about Jim 's case ?,Jim 's death is closely connected with his father 's .
What does the passage mainly talk about ?,The advantages and disadvantages of commuting students .
What do students do on the third floor ?,They have IT lessons .
Why does the author compare the old lady with his grandmother ?,He suggests the old lady 's touch was comforting .
"After it was first staged , Death of a Salesman",achieved huge success
""" A Decade of Backpacking "" was considered a milestone because",it has stimulated a Chinese craze for travel writing
The oceans are polluted by,"garbage , sewage and medical waste and so on ."
"According to the text , the Colorado Plateau",ranges over at least four states
How was Lexi in the accident ?,She was unable to feel anything .
"To make your classmates feel that they are important to you , you can",watch and listen to them carefully
It can be inferred from the passage that,lowering the world 's temperature a little would lead to agricultural disasters
What 's the best title    for the passage ?,International Day
The Dyson cleaner was invented with the purpose of,helping people use cleaners more easily
"What does the title "" Taxes , Taxes , and More Taxes "" imply ?",Americans are not satisfied with the three types of taxes .
The first and last scenic spots he visited in Xi'an are,the Terracotta Warriors and the Great Mosque
Which sentences about the area around the Salt palace hotel   is   NOT true ?,There are several roads to the hotel .
"When she opens her mouth , the fox",gets the meat
In this passage the author argues that,more and mote evidence shows college education may not be the best thing for high school graduates
The most interesting thing to those who are sailing down the Rhine River on a pleasure boat is,to see the beautiful scene along the banks and hillsides
From the passage we can learn that,sharing your special skills can help you develop friendship
The reason why we should use different kinds of plants to clean the air is that,plants can absorb all kinds of harmful indoor chemicals
What is the best title for this passage ?,An Opera Star
Which of the following is the best title for the passage ?,Celebrating my mother 's 90th birthday
The driver knew the writer 's name because,it was on the front of his suitcase
What does the passage mainly talk about ?,Economic growth and environmental damage .
"By "" protecting their children from the knowledge that they have failed "" , the writer means that most parents try their best",to keep their children from realizing that they failed
Mr. Walker asks his students to listen to music to,reduce their bad behavior
When does a dog start to eat soft food ?,When it 's one month old .
The writer went into another room to,get a natural recording of his friends ' conversation
Which of the following statements is TRUE ?,A college freshman should be careful when choosing a credit card .
What made the author feel fortunate ?,There was no need for Rhubarb to bark .
Why was the author fascinated by cars ?,Because he read exotic things about cars in his brother 's magazines .
The writer made this game to,make her children do chores
"According to a survey , Yu Qinfang found that primary school pupils",dislike being forced to do things
Why is sex education mentioned in the passage ?,To show sometimes mothers have different opinions .
If they realized that he was not a heating engineer he would have to      .,pay to park his car in a garage
Why does the author mention 007 's money belt ?,To persuade tourists not to show others where you keep your money .
"In the study , many dogs barked , jumped and scratched because",they were left alone
"According to Balcombe , learning how animals live and think can",help people care for animals
What do n't you need in this experiment ?,Water .
Which of the following is the best title of the passage ?,Homeless Teen Graduates as a Speaker of High School Class
What is the passage mainly about ?,An app for reporting emergency .
What can be inferred from the passage ?,The girl was determined to go to the golden house at the beginning .
"According to the passage , which of the following are true EXCEPT",depression can destroy people 's immune system and social capabilities
What is the article mainly about ?,How Washington is recovering his brain .
People can easily get information and advice about flood any time of the day from,Floodline 0845 988 1188
The advantages of fireworks can be seen below EXCEPT that,debris from fireworks can even find its way into water
Who found the fish firstly ?,John .
What can we infer from the report in the passage ?,Bearing a second child affects the women 's career to some degree .
From the passage we can learn that,the discovery of an Earth - like planet could happen in the near future
"In the opinion of Barber , Nick",set a good example to other disabled kids
Children may learn the rules of language by,repeating their own experiments
"According to the passage , you are advised to",set a higher life goal
How can one find a study partner on Livemocha ?,He can select suitable people and email them .
The best title for this passage is,An Amazing Gift
Which of the following statements is NOT true according to the text ?,The Merriam - webster Collegiate Dictionary becomes the best - seller because 100 new words are added to it .
What is the purpose of the text ?,To introduce a new film to the reader .
What is the USDA in the passage ?,An office of the US government .
Which of the following titles goes with the text ?,Global warming : The causes
What is unique about ClearPath ?,It helps drivers know the road conditions ahead of time .
Which is not true ?,He repaired watches in the evenings for fun
The so - called BRICS nations do not include,New Zealand
What kinds of parents can be regarded as praise junkies ?,Those who praise their children too much .
From the passage we can conclude that icebergs can,preserve ocean life
It can be inferred from the passage that,the number of competitions whose winners can be awarded extra credits will be smaller
"According to the article , which of the following statements is TRUE ?",Both cats and dogs are human 's good partners .
What can be the best title of the passage ?,Face Your Challenges Bravely
Which is NOT the benefit of the new tobacco control law ?,Getting wonderful gifts on International Children 's Day .
Pictures of animals were painted on the walls of caves in France and Spain because,the pictures were thought to be helpful
What would be the best title of the passage ?,The first face transplant
Which of the following is true according to the passage ?,You need to tell your coach when you feel tired .
What is NOT the reason why their music can endure ?,They wore special suits .
Which place may be London 's most visited tourist spot ?,Big Ben
What 's the function of the paintbrush ?,To write a message onto the white paper .
"According to the passage , we can infer that",the girls who had watched the movie remained anxious
Which of these sentences do you think is RIGHT ?,Deaf people speak with their fingers .
"On the whole , the article tells about",starting to rebuild the earthquake - hit areas
Which of the following is true of Nick White ?,He was trapped in a lift for 41 hours .
"Thailand was once called "" Land of the White Elephant "" because",white elephant was a national symbol until the 1920s
"In the experiment , lessons were given",in the night time
For high school students it 's very important to,choose a proper university
"The old woman asked for something to eat ,",but none of the three rich ladies gave anything to her
What can we know from the note Bellis attached to his camera ?,The camera was n't a missing one .
"Traditionally , people usually thought that",women were concerned greatly about what they wore while men did n't
What can we conclude from the passage ?,"In USA , the demand for oil in 2010 will be as low as it was in 2004 ."
We can infer that the author,makes mental preparations beforehand so as to focus on work quickly
"The author describes Mr. Jaggers as having ' large , very clean white hands ' in order to",show how Pip recalls Mr Jaggers
Why is it harder to apply for Hong Kong 's schools ?,More kids in mainland are studying there .
Mrs Fong and her family were not injured because,she found the house shaking and rushed out with her children at once
Which building is the highest existing building ?,Burj Khalifa in Dubai .
The author might support that,truth and image are equally important
What did Kevin usually do in the afternoon when he was 18 ?,He studied at school .
Why did Disney make Donald Duck ?,Because there were some things that Mickey could not do
What does the passage mainly tell us ?,Parents can use technology to stay in touch with their children .
"If Sen. McCain won the election , What would Palin do ?",She would be the vice president - elect of the United States .
Many teachers and parents are worried about their children because,all of above
What can we learn from the passage ?,"Baseball , football and basketball are popular sports in America ."
It is suggested in this passage that,close relation usually have similar intelligence
The reading passage is a story mainly about,Abraham Lincoln
"The policemen were told "" to look the other way "" so that",Rolls 's car could go faster than four miles an hour
What is the theme of the Shanghai World Expo ?,"Better City , Better Life ."
Many Americans prefer basketball to football because,it is played indoors throughout winter
Which statement is TRUE according to the passage ?,The Intel Science Talent Search is an intense competition .
What 's the main idea of the passage ?,How to make a small business successful .
It was an honor for the hospital to take care of Ms. Baines because,she was a respectable lady
"If you get a flu vaccine ,",your body will develop antibodies
"In Albuquerque , high school students organized a dinner to",let other people learn about Buy Nothing Day
Which of the following statements does NOT agree with the passage ?,Imperial College is a business school .
What does Li Ping want to know ?,He wants to know something about English people .
What are Chinese tourists encouraged to do ?,Respect local customs wherever they travel .
What 's the best title of the passage ?,Packaging Can Talk
What the writer regretted was that she did n't,manage to find out her aunt 's arrangement for Mazy
Who has also written for newspapers and magazines according to the text ?,Richard Louv
Follow Your Heart is a,book
Which of the following would be the best title for the passage ?,Japanese cellphone industry intends to expand overseas markets .
Which of the following is TRUE of EQ and IQ according to the text ?,Scientists are trying to discover the way in which EQ and IQ work together .
The headmaster Bryan Lewis holds the view that,fountain pens have helped to build up students ' self - respect
Lorenzo Bertolla is,the brand name of clothes
The book released by the Ministry of Education in Singapore is about,teaching methods
"According to Dr. Tom Heffernan , the findings",would contribute to fighting against smoking
The old man bought a ticket,before he got on the train
"To attend the special four - week mini - session , you 'll have to",be old enough for each class
What is the main idea of the passage ?,Animals can predict extreme weather or terrible events .
The writer implies in the passage that,paying children for their housework is no good
Which of the following can be the best topic of the passage ?,Online shopping increases rapidly for Chinese New Year .
The tiger wants to find,some food
It can be inferred from the passage that the lobby group Consumer International wants to,make product labeling satisfy ISO requirements
Which of the following statement is TRUE ?,All of the cups were filled with the same tea .
Why did fake friends industry come into being in Japan ?,Because of social and economic changes
Which of the following is TRUE according to the passage ?,The new technology contributes to solving the problem of illegal fishing .
What does the author 's wife expect him to do ?,To exercise at the gym
Josh Duhamel led the beach run to help the Red Cross,raise money for places suffering from disasters
"Which of the following proves "" Blunt took an unusual path to stardom "" ?",Blunt began to pursue a career in music after military service .
Henry Ford 's statement can be taken negatively because,there is a conflicting relationship between big corporations and labor
Which of the following is TRUE according to the passage ?,The Tile can not be linked up with a phone without Bluetooth .
"If you are an ender , you should",control the ropes for the jumpers
"According to the author , many people increase their IQ in order to",deal with difficulties in life
What can we learn from the text ?,Noah 's mom takes great pride in A Case for Dignity .
In school the pupils ca n't learn a foreign language well because,they have too much time for it
What 's the main idea of the passage ?,Parents should stop their kids watching too many today 's cartoons .
The writer believed that if you wanted to get to know a strange city,you should get lost
His boss told him to go away and find another job because,he was late for work
Which of the following statements is TRUE ?,It was the sailor who was cleverer .
What happened to the little girl in the end ?,She got her ice cream with the big man 's shoes .
Which of the following is true about the film ?,The characters I the film have to face the pressure from both study and their families .
Which of the following is NOT true about parents who home school ?,They must receive special curriculums at the university .
What does the author want to tell us with the passage ?,"British people overuse "" sorry "" in daily life ."
Why do children hang a school bag and a national flag at the gate ?,Because they pass the exam .
Which of the following sentences is TRUE ?,People got the idea of inventing the lightning rod from kites .
Which of the following will Key probably agree on ?,New Zealanders attach great importance to protecting the sanctuary .
What happened to the people who lived in Willits from 1964 - 1995 ?,They have a greater chance of having severe disease .
Why did David Pecaut have the idea of founding a new Ganada Prize ?,To advance Canada 's honor and opportunities .
What is the common feature of the three writers ?,Each only has one famous work .
The passage is mainly about,the negative effects of Pokemon Go since its UK release
What is the text mainly about ?,Arthur Miller and his best - known play .
Why did the author buy something for the one - legged man ?,Because the author had pity on the man .
We learn from the passage that,Maria fully understood the child 's mind
Where did Gray E. Stahl accept the money ?,At Melvin 's school .
when did Lisa become conscious again ?,after she was back on the platform .
Which of the following is not true ?,California law does not allow children to act in TV shows .
The author mentions her daughter to show,teenagers ' constant connection to cell phones
Which of the following is TRUE according to the text ?,The author benefited a lot from talking on the phone with Suzie .
What 's the best title for the passage ?,Getting to Know Sign Language
What is the passage mainly about ?,Information about end - of - the - world predictions .
Which of the following is an aim of the new museums ?,To study the significance of collecting .
What does the passage mainly tell us ?,Tiger Mom has changed and wants to be soft .
Where will this passage most probably be found ?,In the booklet of a gallery .
What 's the best title for this passage ?,Tommy 's Hobby
Ed 's encounter   with the recycling team shows that,Ed was desperate to correct his mistake
We can learn from the passage that,the Jack pine does n't seem to belong to the same family as the other pine trees
What can we infer from the passage ?,Our understanding of the brain has changed greatly in the past decades .
What did the teacher do when the students reported me boy to him ?,He took no action against the boy .
Which of the following statements is NOT true according to the passage ?,Swift became a multiaward winner when she began to sing on the stage .
What happened when he came home from his office that evening ?,His car was back .
What does the author think of 4 G service ?,It provides good service at a higher price .
What would be the best title for the passage ?,Six Environmental Activists Win Goldman Prize
"According to the passage , which of the following statements is NOT true ?",Britain is the first country to have created three - person babies .
"Which of the following can best complete the son 's words "" Dad , you do n't have to ... "" ?",explain
It can be inferred from the passage that,the results of the study can make families with pets feel at ease
"Mr. Yang punches a hole in his new belt , because",it can remind him not to eat too much
What is the author 's purpose in writing this article ?,To call on people to join Slow Food Movement .
One of the things that make Fiji a tourist attraction is,its good weather all year round
What can promote your body health according to the passage ?,"Regular exercise , proper diet and nutrition ."
"When people without jobs go to the doctors , they",get free prescriptions
Why do animals hide ?,Because they want to protect themselves .
"According to the passage , why was Lu Xun 's story Diary of a Madman so popular ?",It was the first novel to use everyday language .
Which of the following is NOT true ?,Bamboo plants are able to grow well in any part of the world .
What 's the purpose of the passage ?,To ask people to watch the movie .
Which of the following statements is NOT true ?,New advanced technology makes the vehicle operation rely only on the vehicle itself .
What can we infer from the passage ?,Going to space needs power to escape the gravity .
Which of the following positions should have a doctor degree ?,Assistant and adjunct professors
Which of the following is NOT true ?,We found a new home in another planet by the year 2400 .
"When guests ask for something strange , the manager of a good hotel would think",how he can meet their needs
The writer reads books borrowed from the library faster than the books he bought because,the books he bought have no due date
The only victims of rising house prices are,real home buyers
What can we learn from the passage ?,People ca n't get a full night 's sleep mainly because of too much stress .
Which of the following sentences is WRONG ?,Wang Zhaolin 's foot got hurt after the PE exam
The first time the writer thought they would probably survive was when,a worker climbed up on a rope
Women do n't take the disadvantages of high heels too seriously because of,their wish to improve their appearance
Sark on Channel Islands would most probably attract those who,want to enjoy a very quiet holiday
What do we know about a green roof ?,"it is covered with grass , flowers or other plants"
"What 's the meaning of "" ordinary people "" ?",the people whose surnames are ordinary .
The author of the passage aims to,stress the benefit of taking notes by hand
"According to the passage , Shi Li and Cui Jiping",are disabled people full of love
What 's the passage mainly about ?,"Helping us enlarge the knowledge about the word "" Dutch "" ."
What would be the best title for the text ?,New Honor for the Web 's Inventor
How is the bookstore different from other bookstores ?,There is no cashier in it .
We can learn from the text that the course,offers cooking classes as well
What does this passage mainly tell us ?,High fuel prices ' influences on school buses .
"The aim of the "" tech - free "" challenge was to",help students understand how technology has affected their lives
"According to the passage , which of the following statements is NOT true ?",It is the first time that the virus has been found in the products in this company .
What do we know about the survey from the text ?,It lasted for a whole school year .
